Fecha;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
1/02/2016; 440.00 ; 425.00 ; 425.00 ; 425.00 ; 425.00 ; 440.00 ; 440.00 ; 440.00 ; 451.01 ; 451.01 ; 464.00 ; 464.00 ; 464.00 ; 464.00 ; 464.00 ; 464.00 ; 464.00 ; 451.01 ; 464.00 ; 464.00 ; 464.00 ; 464.00 ; 451.01 ; 440.00 
2/02/2016; 416.00 ; 416.00 ; 416.00 ; 416.00 ; 416.00 ; 416.00 ; 416.00 ; 425.00 ; 480.00 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 481.12 ; 480.00 ; 450.00 ; 416.00 
3/02/2016; 400.00 ; 400.00 ; 380.00 ; 380.00 ; 395.62 ; 460.00 ; 465.00 ; 470.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 475.00 ; 470.00 ; 460.00 
4/02/2016; 440.00 ; 440.00 ; 434.49 ; 430.00 ; 440.00 ; 459.00 ; 459.00 ; 459.00 ; 459.00 ; 459.00 ; 478.00 ; 478.69 ; 478.00 ; 478.00 ; 478.69 ; 478.69 ; 478.00 ; 478.69 ; 478.69 ; 478.69 ; 478.69 ; 478.69 ; 459.00 ; 459.00 
5/02/2016; 450.00 ; 430.00 ; 400.00 ; 400.00 ; 430.00 ; 484.76 ; 460.00 ; 460.00 ; 484.76 ; 484.76 ; 484.76 ; 489.00 ; 484.76 ; 489.00 ; 489.00 ; 484.76 ; 484.76 ; 460.00 ; 484.76 ; 484.76 ; 484.76 ; 484.76 ; 460.00 ; 439.08 
6/02/2016; 450.00 ; 430.00 ; 430.00 ; 430.00 ; 430.00 ; 450.00 ; 450.00 ; 470.00 ; 480.00 ; 487.00 ; 487.00 ; 487.00 ; 487.00 ; 487.00 ; 487.00 ; 487.00 ; 487.00 ; 480.00 ; 487.00 ; 487.00 ; 487.00 ; 565.15 ; 487.00 ; 487.00 
7/02/2016; 450.00 ; 450.00 ; 440.00 ; 440.00 ; 440.00 ; 440.00 ; 430.00 ; 440.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 450.00 ; 478.50 ; 478.50 ; 478.50 ; 450.00 ; 450.00 
8/02/2016; 344.19 ; 350.00 ; 350.00 ; 346.60 ; 367.82 ; 439.08 ; 430.00 ; 450.00 ; 460.00 ; 465.00 ; 465.00 ; 466.00 ; 465.00 ; 465.00 ; 466.00 ; 465.00 ; 465.00 ; 460.00 ; 466.00 ; 478.50 ; 466.00 ; 465.00 ; 460.00 ; 430.00 
9/02/2016; 368.00 ; 364.05 ; 367.82 ; 364.05 ; 368.00 ; 368.00 ; 368.00 ; 368.00 ; 430.00 ; 455.00 ; 455.00 ; 455.00 ; 455.00 ; 455.00 ; 455.00 ; 455.00 ; 450.00 ; 439.08 ; 455.00 ; 455.00 ; 455.00 ; 465.00 ; 368.00 ; 368.00 
10/02/2016; 358.00 ; 358.00 ; 358.00 ; 358.00 ; 358.00 ; 430.00 ; 430.00 ; 430.00 ; 440.00 ; 440.00 ; 460.00 ; 460.00 ; 460.00 ; 460.00 ; 461.00 ; 461.00 ; 460.00 ; 461.00 ; 461.00 ; 472.69 ; 461.00 ; 461.00 ; 430.00 ; 365.70 
11/02/2016; 445.00 ; 445.00 ; 445.00 ; 445.00 ; 445.00 ; 451.00 ; 451.00 ; 451.00 ; 451.00 ; 455.00 ; 460.00 ; 460.00 ; 460.00 ; 460.00 ; 460.00 ; 461.00 ; 460.00 ; 455.00 ; 460.00 ; 475.00 ; 461.00 ; 461.00 ; 451.00 ; 451.00 
12/02/2016; 440.00 ; 439.08 ; 400.00 ; 400.00 ; 440.00 ; 458.00 ; 458.00 ; 458.00 ; 458.00 ; 465.00 ; 485.00 ; 485.00 ; 465.00 ; 485.00 ; 505.10 ; 505.10 ; 485.00 ; 465.00 ; 485.00 ; 505.10 ; 505.10 ; 465.00 ; 458.00 ; 458.00 
13/02/2016; 470.00 ; 470.00 ; 470.00 ; 450.00 ; 470.00 ; 470.00 ; 470.00 ; 470.00 ; 510.00 ; 510.00 ; 536.10 ; 536.10 ; 536.10 ; 536.10 ; 536.10 ; 530.00 ; 530.00 ; 536.10 ; 536.10 ; 536.10 ; 536.10 ; 530.00 ; 510.00 ; 470.00 
14/02/2016; 525.00 ; 525.00 ; 525.00 ; 525.00 ; 525.00 ; 525.00 ; 525.00 ; 525.00 ; 525.00 ; 532.00 ; 532.00 ; 560.00 ; 583.10 ; 583.10 ; 560.00 ; 560.00 ; 532.00 ; 532.00 ; 583.10 ; 605.00 ; 583.10 ; 583.10 ; 560.00 ; 525.00 
15/02/2016; 435.00 ; 400.00 ; 400.00 ; 400.00 ; 420.00 ; 435.00 ; 560.00 ; 580.00 ; 670.70 ; 670.70 ; 690.00 ; 700.00 ; 690.00 ; 700.00 ; 700.00 ; 700.00 ; 700.00 ; 690.00 ; 700.00 ; 800.00 ; 876.61 ; 690.00 ; 670.70 ; 560.00 
16/02/2016; 518.00 ; 518.00 ; 518.00 ; 518.00 ; 518.00 ; 518.00 ; 590.00 ; 620.00 ; 660.00 ; 660.00 ; 660.00 ; 840.00 ; 840.00 ; 850.00 ; 850.00 ; 850.00 ; 840.00 ; 840.00 ; 850.00 ; 850.00 ; 850.00 ; 840.00 ; 660.00 ; 620.00 
17/02/2016; 845.00 ; 840.00 ; 840.00 ; 840.00 ; 840.00 ; 845.00 ; 845.00 ; 845.00 ; 876.50 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 845.00 ; 845.00 
18/02/2016; 860.00 ; 860.00 ; 850.00 ; 850.00 ; 860.00 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 
19/02/2016; 870.00 ; 850.00 ; 875.00 ; 875.00 ; 870.00 ; 875.00 ; 876.60 ; 876.60 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.60 
20/02/2016; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.60 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.60 
21/02/2016; 876.60 ; 876.60 ; 876.50 ; 876.50 ; 876.50 ; 876.50 ; 876.50 ; 876.50 ; 876.50 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.60 
22/02/2016; 780.00 ; 412.69 ; 337.74 ; 337.74 ; 391.46 ; 876.59 ; 876.60 ; 876.60 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.59 
23/02/2016; 335.74 ; 335.74 ; 336.37 ; 335.74 ; 370.00 ; 875.50 ; 875.50 ; 876.00 ; 876.50 ; 876.60 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.00 ; 875.50 
24/02/2016; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.60 
25/02/2016; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.60 
26/02/2016; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 
27/02/2016; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 
28/02/2016; 876.60 ; 876.60 ; 876.59 ; 876.59 ; 876.59 ; 876.59 ; 876.59 ; 876.59 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.60 
29/02/2016; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.61 ; 876.61 ; 876.61 ; 876.61 ; 876.60 ; 876.60 
