Codigo SIC;Nombre Recurso;Capacidad Efectiva Neta [MW];Factor de Conversi�n;Es Menor;Tipo Despacho;Combustible por Defecto;Fecha Operaci�n;Municipio;Departamento;Agente Representante;Estado Recurso;Tipo Generaci�n;Clasificaci�n
RGR1;RIO GRANDE;0.3;0;SI;ND;AGUA;1/12/2007;DON MATIAS;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
RMR1;RUMOR;2.5;0.34;SI;ND;AGUA;1/01/1999;TULUA;VALLE DEL CAUCA;COMPA�IA DE ELECTRICIDAD DE TULUA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
PGUG;PAGUA;600;160;NO;DC;AGUA;1/12/1986;LA MESA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
GTRG;GUATRON;512;89;NO;DC;AGUA;1/01/1966;GOMEZ PLATA;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
ALBG;ALTO ANCHICAYA;427;42;NO;DC;AGUA;15/12/2000;BUENAVENTURA;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RFR1;RIO FRIO I;1.67;0;SI;ND;AGUA;1/01/1954;RIOFRIO;VALLE DEL CAUCA;COMPA�IA DE ELECTRICIDAD DE TULUA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RCL1;RIO CALI;1.8;0;SI;ND;AGUA;1/01/1925;CALI;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
VNTB;VENTANA B;2.5;0;SI;ND;AGUA;1/11/1957;CHICORAL;TOLIMA;HIDROTOLIMA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
VNTA;VENTANA A;2.5;0;SI;ND;AGUA;1/11/1957;CHICORAL;TOLIMA;HIDROTOLIMA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RPD1;RIO PIEDRAS;20;5.88;NO;DC;AGUA;31/03/2000;JERICO;ANTIOQUIA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;FILO DE AGUA
PLM1;PALMAS SAN GIL;15;0;SI;ND;AGUA;1/01/1954;SAN GIL;SANTANDER;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
ZRG1;ZARAGOZA;1.3;0;SI;ND;AGUA;1/01/1932;BUCARAMANGA;SANTANDER;ELECTRIFICADORA DE SANTANDER S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL
PJR1;PAJARITO;13.2;19;SI;ND;AGUA;25/11/1999;YARUMAL;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
CSC1;CASCADA;3;0;SI;ND;AGUA;1/01/1954;BUCARAMANGA;SANTANDER;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RCIO;RIO RECIO;0.984;0;SI;ND;AGUA;1/11/1958;LERIDA;TOLIMA;HIDROTOLIMA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
RFR2;RIO FRIO II;10;0;SI;ND;AGUA;1/01/1996;RIOFRIO;VALLE DEL CAUCA;COMPA�IA DE ELECTRICIDAD DE TULUA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RBJ1;RIO ABAJO;0.9;0;SI;ND;AGUA;1/01/1947;SAN VICENTE;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;INACTIVO;HIDRAULICA;NORMAL
JBV1;JULIO BRAVO;1.5;0;SI;ND;AGUA;1/01/1942;PASTO;NARI�O;CENTRALES ELECTRICAS DE NARI�O S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL
PTA1;LA PITA;1.42;0;SI;ND;AGUA;1/01/1965;GARZON;HUILA;ELECTRIFICADORA DEL HUILA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
IQU2;IQUIRA II;1.38;0;SI;ND;AGUA;1/01/1965;IQUIRA;HUILA;ELECTRIFICADORA DEL HUILA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
IQU1;IQUIRA I;4.32;0;SI;ND;AGUA;1/01/1955;IQUIRA;HUILA;ELECTRIFICADORA DEL HUILA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
SLV1;SILVIA;0.38;0;SI;ND;AGUA;1/01/1994;SILVIA;CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
SJN1;SAJANDI;3.2;0;SI;ND;AGUA;1/01/1995;PATIA (EL BORDO);CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RIN1;RIO INGENIO;0.18;0;SI;ND;AGUA;1/01/1958;SANDONA;NARI�O;CENTRALES ELECTRICAS DE NARI�O S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL
NTB1;NUTIBARA;0.75;1;SI;ND;AGUA;1/01/1997;MEDELL�N;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
MIR1;MIROLINDO;3.75;0;SI;ND;AGUA;3/11/2004;IBAGUE;TOLIMA;HIDROTOLIMA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
INZ1;INZA;0.75;0;SI;ND;AGUA;5/02/2009;INZA;CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
ASN1;ASNAZU;0.45;0;SI;ND;AGUA;1/01/1934;SUAREZ;CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
UNN1;UNION;0.7;0.001;SI;ND;AGUA;1/01/1935;CALARCA;QUIND�O;EMPRESAS PUBLICAS DE CALARCA ESP;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
CPT1;CAMPESTRE (CALARCA);0.7;0.001;SI;ND;AGUA;1/01/1956;CALARCA;QUIND�O;EMPRESAS PUBLICAS DE CALARCA ESP;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
BYN1;BAYONA;0.6;0.001;SI;ND;AGUA;1/01/1943;CALARCA;QUIND�O;EMPRESAS PUBLICAS DE CALARCA ESP;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
NQU1;NIQUIA;19;3;SI;ND;AGUA;28/06/1993;BELLO;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
BLM1;BELMONTE;3.4;0;SI;ND;AGUA;1/01/1939;PEREIRA;RISARALDA;EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
SNC1;SAN CANCIO;2;0;SI;ND;AGUA;1/01/1929;MANIZALES;CALDAS;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
MND1;MONDOMO;0.75;0;SI;ND;AGUA;1/01/1958;SANTANDER DE QUILICHAO;CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
INT1;INTERMEDIA;0.96;0;SI;ND;AGUA;1/01/1974;MANIZALES;CALDAS;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
GCC1;GUACAICA;0.86;0;SI;ND;AGUA;1/01/1992;NEIRA;CALDAS;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
TQD1;TEQUENDAMA;19.4;0;SI;ND;AGUA;10/04/2004;SAN ANTONIODE TENA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;INACTIVO;HIDRAULICA;NORMAL
JNC1;LA JUNCA;19.4;0;SI;ND;AGUA;1/01/2005;LA MESA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;INACTIVO;HIDRAULICA;NORMAL
TIN1;LA TINTA;19.4;0;SI;ND;AGUA;6/12/2003;LA MESA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;INACTIVO;HIDRAULICA;NORMAL
LMR1;EL LIMONAR;18;0;SI;ND;AGUA;6/12/2003;SAN ANTONIODE TENA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
CQT1;CHARQUITO;19.4;11;SI;ND;AGUA;22/08/2003;SOACHA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
SUV1;SUEVA 2;6;0;SI;ND;AGUA;24/05/2002;JUNIN;CUNDINAMARCA;CEMEX ENERGY S.A.S E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
TMS1;RIOFRIO (TAMESIS);1;0;SI;ND;AGUA;1/01/1951;TAMESIS;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
PTG1;PUENTE GUILLERMO;4.2;0;SI;ND;AGUA;1/09/2001;PUENTE NACIONAL;SANTANDER;ENERCO S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
AMF1;AMALFI;0.81;0;SI;ND;AGUA;5/08/2007;AMALFI;ANTIOQUIA;HZ ENERGY S.A.S. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
SJM1;SAN JOSE DE LA MONTA�A;0.4;0;SI;ND;AGUA;30/07/2007;S. JOSELA MONTA;ANTIOQUIA;EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
SNFR;SAN FRANCISCO;135;16;NO;DC;AGUA;1/01/1969;CHINCHINA;CALDAS;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;FILO DE AGUA
SNCR;SAN CARLOS;1240;54;NO;DC;AGUA;20/01/1984;SAN CARLOS;ANTIOQUIA;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
SLVJ;SALVAJINA;315;0.8647;NO;DC;AGUA;20/07/1995;SUAREZ;CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
PBL1;PIEDRAS BLANCAS;5;0;SI;ND;AGUA;1/01/1900;MEDELL�N;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;INACTIVO;HIDRAULICA;NORMAL
SNS1;SONSON;18.5;0;SI;ND;AGUA;1/06/2002;SONSON;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RGRN;RIOGRANDE I;19;29;SI;ND;AGUA;1/01/1956;DON MATIAS;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
RMYO;RIO MAYO;19.8;1.7;SI;ND;AGUA;20/07/1995;SAN PABLO;NARI�O;CENTRALES ELECTRICAS DE NARI�O S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
PRDO;PRADO;51;0.4906;NO;DC;AGUA;1/03/1973;PRADO;TOLIMA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
PLYS;PLAYAS;207;17;NO;DC;AGUA;1/08/1988;SAN CARLOS;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
SPY1;RIO SAPUYES;1.65;0;SI;ND;AGUA;1/01/1954;TUQUERRES;NARI�O;CENTRALES ELECTRICAS DE NARI�O S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
PMR1;REMEDIOS;0.75;0;SI;ND;AGUA;19/09/2007;REMEDIOS;ANTIOQUIA;COMPA��A INTEGRAL ENERGETICA S.A.S E.S.P;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
CRC1;CARACOLI;3.75;0.8011;SI;ND;AGUA;1/01/1935;CARACOLI;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
VLT1;LA VUELTA;11.6;0;SI;ND;AGUA;22/11/2004;CANASGORDAS;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
LTSJ;LA TASAJERA;306;78;NO;DC;AGUA;20/05/1994;GIRARDOTA;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
JAGS;JAGUAS;170;24;NO;DC;AGUA;1/07/1988;SAN RAFAEL;ANTIOQUIA;ISAGEN S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
HRD1;LA HERRADURA;19.8;0.0001;SI;ND;AGUA;3/09/2004;CANASGORDAS;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
GVIO;GUAVIO;1250;98;NO;DC;AGUA;19/03/1993;UBALA;CUNDINAMARCA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
GTPE;GUATAPE;560;71;NO;DC;AGUA;1/01/1972;GUATAP�;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
CMN1;AUTOG CEMENTOS DEL NARE;9;0;NO;ND;AGUA;1/09/2004;PTO NARE;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;AUTOGENERADOR
PST1;PASTALES;0.7;0;SI;ND;AGUA;18/02/2004;PASTALES;TOLIMA;HIDROTOLIMA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
FLRD;FLORIDA;19.9;0.8333;SI;ND;AGUA;1/01/1975;POPAYAN;CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
OVJ1;OVEJAS;0.82;0;SI;ND;AGUA;1/01/1939;BUENOS AIRES;CAUCA;VATIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
ESMR;ESMERALDA;30;13;NO;DC;AGUA;1/01/1963;CHINCHINA;CALDAS;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;FILO DE AGUA
LBR1;NUEVO LIBARE;5.1;0;SI;ND;AGUA;1/01/1994;DOS QUEBRADAS;RISARALDA;EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
NIM1;NIMA;6.7;0;SI;ND;AGUA;1/01/1942;CALI;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
MNT1;MANANTIALES;3.15;0.633;SI;ND;AGUA;1/01/1992;MEDELL�N;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
CMP2;CAMPESTRE (EPM);0.87;0.875;SI;ND;AGUA;1/01/1997;MEDELL�N;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
CHVR;CHIVOR;1000;7;NO;DC;AGUA;23/05/1977;SANTA MARIA;BOYAC�;AES COLOMBIA & CIA. S.C.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
BLL3;BELLO;0.35;1;SI;ND;AGUA;1/01/1997;BELLO;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
AYR1;AUTOG AYURA;16.7;2;SI;ND;AGUA;26/10/1983;ENVIGADO;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;AUTOGENERADOR
CLMG;CALIMA;132;19;NO;DC;AGUA;1/01/1967;CALIMA (DARIEN);VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;HIDRAULICA;NORMAL
AMR1;AMERICA;0.41;0;SI;ND;AGUA;1/01/1997;MEDELL�N;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACI�N;HIDRAULICA;GEN. DISTRIBUIDA
CHBG;BETANIA;540;0.5897;NO;DC;AGUA;1/11/1987;YAGUARA;HUILA;ENEL COLOMBIA SA ESP;OPERACI�N;HIDRAULICA;NORMAL
JPR1;JEPIRACHI 1 - 15;18.42;0;SI;ND;VIENTO;27/04/2004;URIBIA;LA GUAJIRA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;INACTIVO;EOLICA;NORMAL
3AL8;INGENIO MARIA LUISA;1.8;0;NO;ND;BAGAZO;31/01/2021;FLORIDA;VALLE DEL CAUCA;DEPI ENERGY S.A.S. E.S.P.;INACTIVO;COGENERADOR;COGENERADOR
2UP2;COGENERADOR MANUELITA 2;12;0.00001;NO;ND;BAGAZO;22/06/2018;PALMIRA;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
2SXQ;BIOENERGY;19.9;0;NO;ND;BAGAZO;22/04/2017;PUERTO LOPEZ;META;AES COLOMBIA & CIA. S.C.A. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
2SXS;COGENERADOR PROENCA II;17;0.1;NO;ND;CARBON;25/03/2017;CALOTO;CAUCA;PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.;INACTIVO;COGENERADOR;COGENERADOR
MAN1;INGENIO MANUELITA;3.5;0;NO;ND;BAGAZO;17/03/2016;CALI;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;INACTIVO;COGENERADOR;COGENERADOR
PNC1;COGENERADOR PROENCA;19.9;0;NO;ND;CARBON;29/04/2014;CALOTO;CAUCA;PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
CIS1;INGENIO SAN CARLOS 1;2;29.26;NO;ND;BAGAZO;23/07/2011;TULUA;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
PIC1;INGENIO PICHICHI 1;0;0;NO;ND;BAGAZO;26/01/2010;GUACARI;VALLE DEL CAUCA;EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
CGM1;MAYAGUEZ 1;19.9;0;NO;ND;CARBON;17/08/2010;CANDELARIA;VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
ILC1;INGENIO LA CARMELITA;0;0;NO;ND;BAGAZO;11/11/2009;TULUA;VALLE DEL CAUCA;DEPI ENERGY S.A.S. E.S.P.;INACTIVO;COGENERADOR;COGENERADOR
CIP1;INGENIO PROVIDENCIA 2;19.9;0;NO;ND;CARBON;18/05/2009;EL CERRITO;VALLE DEL CAUCA;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
PPN1;PAPELES NACIONALES;0;0;NO;ND;GAS;5/02/2009;PEREIRA;RISARALDA;ENERCO S.A. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
CLTJ;COGENERADOR COLTEJER 1;9.4;0;NO;ND;CARBON;19/12/2013;ITAGUI;ANTIOQUIA;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;INACTIVO;COGENERADOR;COGENERADOR
CTMO;CENTRAL TUMACO 1;0;0;NO;ND;BAGAZO;25/03/2007;CALIMA (DARIEN);VALLE DEL CAUCA;CELSIA COLOMBIA S.A. E.S.P.;INACTIVO;COGENERADOR;COGENERADOR
RPL1;INGENIO RIOPAILA 1;16;0;NO;ND;BAGAZO;21/05/2018;ZARZAL;VALLE DEL CAUCA;RIOPAILA ENERG�A S.A.S. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
CAS1;CENTRAL CASTILLA 1;3;0;NO;ND;BAGAZO;15/08/2004;PRADERA;VALLE DEL CAUCA;RIOPAILA ENERG�A S.A.S. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
IRG1;INGENIO RISARALDA 1;19.9;0;NO;ND;BAGAZO;15/08/2003;BALBOA;RISARALDA;EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
PNC1;COGENERADOR PROENCA 1;4;0;NO;ND;CARBON;1/01/1999;CALOTO;CAUCA;PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.;INACTIVO;COGENERADOR;COGENERADOR
INC1;INCAUCA 1;60;0;NO;ND;BAGAZO;21/10/1998;MIRANDA;CAUCA;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;OPERACI�N;COGENERADOR;COGENERADOR
BIOE;COGENERADOR BIOAISE 1;1;0;NO;ND;GAS;1/08/1998;CARTAGENA;BOL�VAR;BIOAISE S.A.;INACTIVO;COGENERADOR;COGENERADOR
